Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Notes
OECD Env-Growth,SSP4,ESP,GDP|PPP,Annual Average Growth [%],1.030,1.120,1.072,1.382,1.523,1.425,1.295,1.342,1.439,1.491,1.439,1.230,1.019,0.965,0.912,0.898,0.845,0.708,,
OECD Env-Growth,SSP5,ESP,GDP|PPP,Annual Average Growth [%],1.253,1.469,1.736,2.389,2.742,2.693,2.575,2.561,2.670,2.775,2.761,2.602,2.426,2.333,2.244,2.203,2.146,2.050,,
IIASA GDP,SSP1,EST,GDP|PPP,Annual Average Growth [%],3.513,1.904,2.183,1.724,1.365,1.106,0.963,0.929,1.054,1.239,1.375,1.433,1.439,1.416,1.372,1.311,1.246,1.231,,
IIASA GDP,SSP2,EST,GDP|PPP,Annual Average Growth [%],3.587,1.857,1.941,1.356,1.006,0.827,0.759,0.704,0.742,0.854,0.966,1.036,1.060,1.057,1.053,1.060,1.067,1.065,,
IIASA GDP,SSP3,EST,GDP|PPP,Annual Average Growth [%],3.600,1.686,1.517,0.711,0.275,0.087,0.022,-0.054,-0.095,-0.114,-0.095,-0.050,-0.023,-0.025,-0.033,-0.027,-0.027,-0.050,,
IIASA GDP,SSP4,EST,GDP|PPP,Annual Average Growth [%],3.654,1.829,1.756,1.028,0.656,0.525,0.510,0.475,0.471,0.527,0.592,0.643,0.642,0.596,0.538,0.504,0.489,0.484,,
IIASA GDP,SSP5,EST,GDP|PPP,Annual Average Growth [%],3.571,2.135,2.636,2.386,2.145,1.927,1.928,2.070,2.306,2.526,2.659,2.698,2.682,2.641,2.584,2.513,2.439,2.396,,
OECD Env-Growth,SSP1,EST,GDP|PPP,Annual Average Growth [%],4.513,3.441,3.024,2.884,2.684,2.309,1.936,1.545,1.258,1.374,1.427,1.328,1.138,1.032,0.942,0.907,0.917,0.894,,
OECD Env-Growth,SSP2,EST,GDP|PPP,Annual Average Growth [%],4.486,3.324,2.759,2.584,2.494,2.303,2.042,1.710,1.421,1.518,1.556,1.456,1.268,1.157,1.079,1.066,1.092,1.079,,
OECD Env-Growth,SSP3,EST,GDP|PPP,Annual Average Growth [%],4.390,3.055,2.254,1.956,1.736,1.483,1.140,0.718,0.346,0.411,0.415,0.230,-0.053,-0.193,-0.287,-0.292,-0.261,-0.318,,
OECD Env-Growth,SSP4,EST,GDP|PPP,Annual Average Growth [%],4.442,3.308,2.898,2.771,2.546,2.167,1.816,1.460,1.159,1.254,1.267,1.116,0.872,0.749,0.658,0.641,0.665,0.622,,
OECD Env-Growth,SSP5,EST,GDP|PPP,Annual Average Growth [%],4.577,3.674,3.550,3.509,3.305,2.950,2.682,2.411,2.232,2.407,2.514,2.492,2.383,2.299,2.225,2.195,2.207,2.201,,
IIASA GDP,SSP1,ETH,GDP|PPP,Annual Average Growth [%],9.094,6.817,4.550,3.901,4.168,4.441,4.698,4.739,4.698,4.576,4.403,4.158,4.194,3.972,3.487,2.819,2.199,1.690,,
IIASA GDP,SSP2,ETH,GDP|PPP,Annual Average Growth [%],8.089,5.859,3.722,3.266,3.392,3.474,3.567,3.531,3.560,3.619,3.679,3.692,3.658,3.515,3.313,3.090,2.900,3.102,,
IIASA GDP,SSP3,ETH,GDP|PPP,Annual Average Growth [%],7.510,5.030,2.655,2.029,1.909,1.753,1.641,1.460,1.396,1.393,1.419,1.416,1.383,1.283,1.174,1.087,1.029,1.004,,
IIASA GDP,SSP4,ETH,GDP|PPP,Annual Average Growth [%],7.436,5.110,2.943,2.583,2.668,2.703,2.732,2.641,2.629,2.661,2.703,2.702,2.663,2.552,2.430,2.330,2.257,2.216,,
IIASA GDP,SSP5,ETH,GDP|PPP,Annual Average Growth [%],9.108,7.051,5.085,4.733,5.210,5.599,5.889,5.899,5.787,5.575,5.301,4.941,4.868,4.540,3.961,3.211,2.527,2.172,,
OECD Env-Growth,SSP1,ETH,GDP|PPP,Annual Average Growth [%],6.704,6.729,7.169,7.934,8.325,8.248,7.843,7.240,6.552,5.844,5.185,4.593,4.050,3.539,3.071,2.665,2.329,2.021,,
OECD Env-Growth,SSP2,ETH,GDP|PPP,Annual Average Growth [%],6.897,6.781,6.322,6.249,6.021,6.148,6.136,5.971,5.734,5.458,5.188,4.936,4.673,4.372,4.073,3.790,3.537,3.297,,
OECD Env-Growth,SSP3,ETH,GDP|PPP,Annual Average Growth [%],7.025,6.835,5.592,4.928,4.195,4.158,4.100,3.942,3.764,3.609,3.501,3.417,3.317,3.148,2.972,2.812,2.673,2.568,,
OECD Env-Growth,SSP4,ETH,GDP|PPP,Annual Average Growth [%],7.019,6.749,5.312,4.491,3.458,3.318,3.197,2.997,2.795,2.631,2.522,2.452,2.374,2.237,2.107,2.000,1.927,1.895,,
OECD Env-Growth,SSP5,ETH,GDP|PPP,Annual Average Growth [%],6.689,6.800,7.834,9.227,9.826,9.446,8.766,7.952,7.120,6.324,5.621,5.006,4.461,3.963,3.512,3.125,2.809,2.522,,
IIASA GDP,SSP1,FIN,GDP|PPP,Annual Average Growth [%],2.232,2.087,2.386,2.254,2.047,1.862,1.715,1.599,1.528,1.506,1.494,1.454,1.395,1.335,1.263,1.180,1.110,1.055,,
IIASA GDP,SSP2,FIN,GDP|PPP,Annual Average Growth [%],2.242,2.049,2.273,2.070,1.813,1.608,1.469,1.377,1.329,1.318,1.307,1.281,1.243,1.198,1.145,1.094,1.052,1.000,,
IIASA GDP,SSP3,FIN,GDP|PPP,Annual Average Growth [%],1.414,0.706,0.764,0.739,0.682,0.640,0.606,0.579,0.575,0.580,0.571,0.548,0.499,0.431,0.359,0.300,0.249,0.200,,
IIASA GDP,SSP4,FIN,GDP|PPP,Annual Average Growth [%],2.264,2.066,2.241,1.913,1.551,1.294,1.137,1.037,0.981,0.947,0.903,0.850,0.779,0.693,0.591,0.496,0.411,0.317,,
IIASA GDP,SSP5,FIN,GDP|PPP,Annual Average Growth [%],2.311,2.348,2.876,2.954,2.884,2.777,2.679,2.597,2.552,2.553,2.557,2.516,2.447,2.378,2.307,2.233,2.172,2.121,,
OECD Env-Growth,SSP1,FIN,GDP|PPP,Annual Average Growth [%],2.306,1.933,1.829,1.933,2.011,1.941,1.725,1.565,1.475,1.434,1.465,1.429,1.356,1.288,1.208,1.136,1.093,1.062,,
OECD Env-Growth,SSP2,FIN,GDP|PPP,Annual Average Growth [%],2.270,1.807,1.586,1.564,1.626,1.686,1.607,1.567,1.553,1.544,1.586,1.571,1.516,1.462,1.400,1.350,1.317,1.284,,
OECD Env-Growth,SSP3,FIN,GDP|PPP,Annual Average Growth [%],2.130,1.540,1.174,0.993,0.903,0.851,0.662,0.526,0.450,0.403,0.416,0.336,0.210,0.125,0.043,0.002,-0.019,-0.073,,
OECD Env-Growth,SSP4,FIN,GDP|PPP,Annual Average Growth [%],2.212,1.753,1.754,1.856,1.898,1.783,1.537,1.354,1.245,1.181,1.170,1.080,0.953,0.868,0.784,0.735,0.701,0.626,,
OECD Env-Growth,SSP5,FIN,GDP|PPP,Annual Average Growth [%],2.408,2.202,2.368,2.651,2.805,2.738,2.588,2.506,2.487,2.506,2.587,2.617,2.604,2.551,2.478,2.405,2.365,2.358,,
IIASA GDP,SSP1,FJI,GDP|PPP,Annual Average Growth [%],3.769,5.865,6.464,4.987,3.659,2.588,1.904,1.444,1.315,1.567,1.646,1.471,1.237,1.143,1.143,1.153,1.131,1.057,,
IIASA GDP,SSP2,FJI,GDP|PPP,Annual Average Growth [%],3.906,5.977,6.344,4.778,3.498,2.566,2.035,1.746,1.680,1.579,1.527,1.453,1.340,1.272,1.656,1.945,2.059,1.985,,
IIASA GDP,SSP3,FJI,GDP|PPP,Annual Average Growth [%],3.890,5.916,6.252,4.654,3.329,2.363,1.818,1.533,1.458,1.375,1.334,1.300,1.260,1.259,1.292,1.335,1.355,1.371,,
IIASA GDP,SSP4,FJI,GDP|PPP,Annual Average Growth [%],3.688,5.350,5.274,3.420,2.014,1.088,0.607,0.386,0.348,0.269,0.206,0.131,0.043,0.044,0.111,0.191,0.234,0.221,,
IIASA GDP,SSP5,FJI,GDP|PPP,Annual Average Growth [%],3.709,5.759,6.306,4.849,3.556,2.517,1.840,1.369,1.224,1.499,1.585,1.615,1.571,1.568,1.552,1.533,1.506,1.451,,
OECD Env-Growth,SSP1,FJI,GDP|PPP,Annual Average Growth [%],1.766,2.132,3.181,4.085,4.465,4.371,4.082,3.750,3.394,3.011,2.708,2.366,2.019,1.802,1.619,1.465,1.319,1.161,,
OECD Env-Growth,SSP2,FJI,GDP|PPP,Annual Average Growth [%],2.041,2.230,2.922,3.235,3.241,3.284,3.255,3.206,3.145,3.030,2.964,2.843,2.692,2.587,2.500,2.418,2.323,2.220,,
OECD Env-Growth,SSP3,FJI,GDP|PPP,Annual Average Growth [%],2.036,2.304,2.727,2.681,2.402,2.360,2.306,2.251,2.204,2.125,2.114,2.081,2.029,2.006,1.974,1.950,1.924,1.907,,
OECD Env-Growth,SSP4,FJI,GDP|PPP,Annual Average Growth [%],1.750,1.849,2.182,2.087,1.511,1.282,1.050,0.868,0.733,0.577,0.492,0.373,0.246,0.217,0.196,0.194,0.203,0.201,,
OECD Env-Growth,SSP5,FJI,GDP|PPP,Annual Average Growth [%],1.640,1.906,3.307,4.651,5.153,4.829,4.347,3.866,3.410,2.957,2.648,2.308,1.980,1.822,1.707,1.643,1.602,1.540,,
IIASA GDP,SSP1,FRA,GDP|PPP,Annual Average Growth [%],1.767,3.292,3.817,3.541,3.120,2.699,2.341,2.058,1.838,1.675,1.524,1.394,1.296,1.228,1.169,1.094,1.019,0.966,,
IIASA GDP,SSP2,FRA,GDP|PPP,Annual Average Growth [%],1.756,3.223,3.685,3.360,2.912,2.474,2.108,1.823,1.618,1.481,1.377,1.296,1.231,1.177,1.129,1.060,0.985,0.921,,
IIASA GDP,SSP3,FRA,GDP|PPP,Annual Average Growth [%],-0.107,0.258,0.532,0.850,1.040,1.090,1.031,0.921,0.817,0.734,0.666,0.619,0.566,0.504,0.441,0.383,0.328,0.270,,
IIASA GDP,SSP4,FRA,GDP|PPP,Annual Average Growth [%],1.779,3.215,3.612,3.169,2.637,2.163,1.785,1.495,1.291,1.152,1.043,0.960,0.881,0.802,0.728,0.635,0.536,0.448,,
IIASA GDP,SSP5,FRA,GDP|PPP,Annual Average Growth [%],1.843,3.511,4.206,4.080,3.752,3.380,3.053,2.788,2.579,2.433,2.307,2.191,2.099,2.034,1.981,1.924,1.872,1.838,,
OECD Env-Growth,SSP1,FRA,GDP|PPP,Annual Average Growth [%],1.288,1.826,1.945,2.182,2.330,2.273,2.123,1.903,1.765,1.713,1.617,1.490,1.370,1.277,1.182,1.108,1.044,0.976,,
OECD Env-Growth,SSP2,FRA,GDP|PPP,Annual Average Growth [%],1.262,1.770,1.770,1.820,1.842,1.830,1.766,1.639,1.577,1.578,1.536,1.458,1.381,1.327,1.279,1.229,1.183,1.132,,
OECD Env-Growth,SSP3,FRA,GDP|PPP,Annual Average Growth [%],1.148,1.498,1.402,1.283,1.139,0.994,0.812,0.587,0.470,0.457,0.404,0.297,0.193,0.146,0.110,0.106,0.106,0.066,,
OECD Env-Growth,SSP4,FRA,GDP|PPP,Annual Average Growth [%],1.213,1.698,1.844,2.062,2.171,2.082,1.925,1.706,1.572,1.526,1.428,1.282,1.144,1.060,0.983,0.915,0.856,0.769,,
OECD Env-Growth,SSP5,FRA,GDP|PPP,Annual Average Growth [%],1.380,2.007,2.391,2.882,3.174,3.141,3.042,2.884,2.797,2.782,2.729,2.662,2.595,2.518,2.435,2.363,2.305,2.265,,
IIASA GDP,SSP1,GAB,GDP|PPP,Annual Average Growth [%],1.416,2.015,2.513,2.949,3.127,3.079,2.864,2.648,2.691,2.593,2.307,1.879,1.572,1.436,1.388,1.337,1.247,1.123,,
IIASA GDP,SSP2,GAB,GDP|PPP,Annual Average Growth [%],1.192,1.386,1.737,2.248,2.605,2.725,2.693,2.569,2.420,2.269,2.154,2.032,2.226,2.249,2.075,1.837,1.679,1.585,,
IIASA GDP,SSP3,GAB,GDP|PPP,Annual Average Growth [%],0.703,0.352,0.515,1.059,1.457,1.566,1.546,1.421,1.338,1.313,1.365,1.417,1.411,1.390,1.336,1.322,1.309,1.322,,
IIASA GDP,SSP4,GAB,GDP|PPP,Annual Average Growth [%],0.661,0.290,0.429,0.990,1.422,1.609,1.672,1.622,1.601,1.630,1.706,1.750,1.717,1.665,1.582,1.544,1.507,1.495,,
IIASA GDP,SSP5,GAB,GDP|PPP,Annual Average Growth [%],1.447,2.175,2.836,3.409,3.660,3.639,3.419,3.177,3.194,3.061,2.819,2.627,2.520,2.431,2.302,2.138,1.948,1.744,,
OECD Env-Growth,SSP1,GAB,GDP|PPP,Annual Average Growth [%],3.178,3.025,3.854,4.006,3.949,3.756,3.473,3.098,2.726,2.369,2.060,1.757,1.462,1.253,1.030,0.834,0.667,0.503,,
OECD Env-Growth,SSP2,GAB,GDP|PPP,Annual Average Growth [%],3.325,2.862,3.299,3.180,3.000,2.967,2.890,2.754,2.610,2.459,2.333,2.188,2.031,1.900,1.761,1.616,1.477,1.345,,
OECD Env-Growth,SSP3,GAB,GDP|PPP,Annual Average Growth [%],3.430,2.602,2.532,2.206,1.892,1.859,1.818,1.754,1.648,1.547,1.512,1.474,1.407,1.348,1.255,1.208,1.151,1.117,,
OECD Env-Growth,SSP4,GAB,GDP|PPP,Annual Average Growth [%],3.438,2.461,2.353,2.334,2.207,2.295,2.354,2.379,2.336,2.280,2.263,2.239,2.177,2.115,2.020,1.965,1.898,1.853,,
OECD Env-Growth,SSP5,GAB,GDP|PPP,Annual Average Growth [%],3.186,3.074,4.182,4.632,4.713,4.465,4.137,3.728,3.337,2.977,2.666,2.361,2.066,1.860,1.641,1.450,1.288,1.127,,
IIASA GDP,SSP1,GBR,GDP|PPP,Annual Average Growth [%],2.505,3.392,4.042,3.740,3.268,2.797,2.413,2.112,1.896,1.755,1.640,1.528,1.416,1.324,1.246,1.148,1.048,0.980,,
IIASA GDP,SSP2,GBR,GDP|PPP,Annual Average Growth [%],2.511,3.317,3.862,3.484,2.993,2.534,2.176,1.895,1.698,1.576,1.486,1.410,1.343,1.281,1.219,1.155,1.095,1.040,,
IIASA GDP,SSP3,GBR,GDP|PPP,Annual Average Growth [%],1.210,1.208,1.531,1.517,1.417,1.278,1.127,0.956,0.805,0.694,0.618,0.574,0.529,0.472,0.408,0.354,0.310,0.266,,
IIASA GDP,SSP4,GBR,GDP|PPP,Annual Average Growth [%],2.536,3.295,3.737,3.213,2.624,2.127,1.760,1.470,1.256,1.108,0.996,0.916,0.843,0.768,0.685,0.601,0.524,0.461,,
IIASA GDP,SSP5,GBR,GDP|PPP,Annual Average Growth [%],2.593,3.625,4.441,4.280,3.894,3.468,3.111,2.826,2.619,2.489,2.387,2.281,2.174,2.087,2.017,1.935,1.859,1.805,,
OECD Env-Growth,SSP1,GBR,GDP|PPP,Annual Average Growth [%],1.681,2.558,2.330,2.263,2.234,2.159,2.039,1.788,1.619,1.599,1.594,1.545,1.407,1.293,1.205,1.129,1.081,1.038,,
OECD Env-Growth,SSP2,GBR,GDP|PPP,Annual Average Growth [%],1.654,2.466,2.050,1.810,1.715,1.751,1.751,1.623,1.535,1.566,1.592,1.574,1.475,1.387,1.322,1.277,1.254,1.228,,
OECD Env-Growth,SSP3,GBR,GDP|PPP,Annual Average Growth [%],1.510,2.140,1.599,1.191,0.921,0.821,0.701,0.477,0.326,0.337,0.360,0.309,0.157,0.056,0.002,-0.005,0.019,0.000,,
OECD Env-Growth,SSP4,GBR,GDP|PPP,Annual Average Growth [%],1.598,2.388,2.220,2.102,2.008,1.881,1.735,1.497,1.326,1.307,1.282,1.202,1.038,0.928,0.851,0.811,0.801,0.755,,
OECD Env-Growth,SSP5,GBR,GDP|PPP,Annual Average Growth [%],1.797,2.820,2.882,3.040,3.107,3.027,2.949,2.770,2.667,2.692,2.728,2.737,2.666,2.570,2.490,2.416,2.365,2.338,,
IIASA GDP,SSP1,GEO,GDP|PPP,Annual Average Growth [%],9.706,11.398,8.218,3.651,0.527,-0.686,-0.753,-0.341,0.090,0.362,0.466,0.462,0.426,0.376,0.320,0.218,0.085,-0.004,,
IIASA GDP,SSP2,GEO,GDP|PPP,Annual Average Growth [%],9.800,11.331,7.999,3.426,0.408,-0.804,-0.903,-0.535,-0.122,0.178,0.354,0.433,0.472,0.506,0.559,0.631,0.707,0.777,,
IIASA GDP,SSP3,GEO,GDP|PPP,Annual Average Growth [%],9.969,11.437,8.067,3.495,0.564,-0.121,0.033,0.355,0.495,0.633,0.774,0.901,1.008,1.097,1.182,1.264,1.339,1.390,,
IIASA GDP,SSP4,GEO,GDP|PPP,Annual Average Growth [%],9.692,10.951,7.403,2.754,-0.213,-1.426,-1.528,-1.162,-0.778,-0.572,-0.535,-0.537,-0.495,-0.416,-0.323,-0.230,-0.153,-0.098,,
IIASA GDP,SSP5,GEO,GDP|PPP,Annual Average Growth [%],9.655,11.351,8.199,3.717,0.778,-0.310,-0.325,0.082,0.502,0.719,0.748,0.671,0.584,0.495,0.417,0.309,0.184,0.116,,
OECD Env-Growth,SSP1,GEO,GDP|PPP,Annual Average Growth [%],6.104,5.007,4.667,4.478,4.215,3.551,2.800,2.111,1.554,1.222,1.118,0.877,0.563,0.272,0.178,0.109,0.049,-0.038,,
OECD Env-Growth,SSP2,GEO,GDP|PPP,Annual Average Growth [%],6.159,4.816,3.676,2.993,2.680,2.507,2.192,1.855,1.572,1.458,1.521,1.426,1.236,1.017,0.987,1.032,1.083,1.084,,
OECD Env-Growth,SSP3,GEO,GDP|PPP,Annual Average Growth [%],6.333,4.974,3.360,2.387,1.878,1.801,1.625,1.430,1.277,1.298,1.496,1.537,1.473,1.324,1.322,1.387,1.443,1.451,,
OECD Env-Growth,SSP4,GEO,GDP|PPP,Annual Average Growth [%],6.081,4.742,3.693,3.150,2.832,2.553,2.142,1.741,1.407,1.243,1.233,1.061,0.799,0.536,0.471,0.484,0.505,0.461,,
OECD Env-Growth,SSP5,GEO,GDP|PPP,Annual Average Growth [%],5.975,5.033,5.297,5.324,4.825,3.754,2.804,2.042,1.492,1.181,1.080,0.853,0.574,0.331,0.264,0.237,0.251,0.247,,
IIASA GDP,SSP1,GHA,GDP|PPP,Annual Average Growth [%],5.803,4.949,4.993,5.492,5.769,5.875,5.724,5.349,4.803,4.204,3.629,3.127,2.686,2.305,1.974,1.682,1.416,1.167,,
IIASA GDP,SSP2,GHA,GDP|PPP,Annual Average Growth [%],5.673,4.140,3.627,3.861,4.149,4.378,4.463,4.410,4.266,4.089,3.907,3.710,3.503,3.275,3.036,2.790,2.544,2.314,,
IIASA GDP,SSP3,GHA,GDP|PPP,Annual Average Growth [%],5.559,3.638,2.684,2.585,2.640,2.691,2.653,2.533,2.357,2.169,2.008,1.883,1.785,1.709,1.635,1.563,1.498,1.443,,
IIASA GDP,SSP4,GHA,GDP|PPP,Annual Average Growth [%],5.500,3.702,2.950,3.100,3.365,3.569,3.631,3.576,3.450,3.309,3.195,3.107,3.030,2.959,2.874,2.777,2.674,2.574,,
IIASA GDP,SSP5,GHA,GDP|PPP,Annual Average Growth [%],5.823,5.179,5.514,6.290,6.738,6.915,6.753,6.319,5.697,5.021,4.370,3.791,3.274,2.822,2.430,2.178,2.154,2.225,,
OECD Env-Growth,SSP1,GHA,GDP|PPP,Annual Average Growth [%],8.869,7.052,7.313,7.539,7.573,7.063,6.402,5.712,5.141,4.635,4.135,3.608,3.092,2.711,2.382,2.074,1.788,1.497,,
OECD Env-Growth,SSP2,GHA,GDP|PPP,Annual Average Growth [%],9.123,7.177,6.635,6.091,5.649,5.452,5.249,5.033,4.859,4.678,4.462,4.199,3.909,3.637,3.384,3.139,2.893,2.651,,
OECD Env-Growth,SSP3,GHA,GDP|PPP,Annual Average Growth [%],9.285,7.244,5.981,4.882,3.952,3.676,3.479,3.318,3.278,3.256,3.220,3.146,3.035,2.917,2.768,2.634,2.495,2.371,,
OECD Env-Growth,SSP4,GHA,GDP|PPP,Annual Average Growth [%],9.280,7.188,5.709,4.497,3.341,3.026,2.836,2.700,2.673,2.638,2.580,2.509,2.407,2.301,2.187,2.084,1.986,1.912,,
OECD Env-Growth,SSP5,GHA,GDP|PPP,Annual Average Growth [%],8.859,7.098,7.883,8.615,8.791,8.020,7.165,6.336,5.685,5.139,4.623,4.088,3.578,3.218,2.913,2.632,2.375,2.111,,
IIASA GDP,SSP1,GIN,GDP|PPP,Annual Average Growth [%],2.988,3.898,5.154,5.753,6.081,6.115,5.887,5.459,4.886,4.266,3.711,3.265,2.894,2.571,2.275,2.000,1.740,1.499,,
IIASA GDP,SSP2,GIN,GDP|PPP,Annual Average Growth [%],2.212,3.306,4.490,4.847,4.681,4.448,4.232,4.021,3.736,3.410,3.168,3.024,2.948,2.899,2.850,2.949,2.975,2.901,,
IIASA GDP,SSP3,GIN,GDP|PPP,Annual Average Growth [%],1.413,1.161,1.662,2.059,2.169,2.061,1.872,1.675,1.512,1.384,1.304,1.254,1.217,1.179,1.138,1.094,1.056,1.034,,
IIASA GDP,SSP4,GIN,GDP|PPP,Annual Average Growth [%],1.320,1.097,1.716,2.364,2.713,2.786,2.702,2.562,2.428,2.324,2.288,2.298,2.320,2.329,2.318,2.293,2.266,2.250,,
IIASA GDP,SSP5,GIN,GDP|PPP,Annual Average Growth [%],2.941,3.945,5.350,6.134,6.597,6.687,6.428,5.907,5.223,4.484,3.866,3.405,3.053,2.761,2.499,2.259,2.098,2.180,,
OECD Env-Growth,SSP1,GIN,GDP|PPP,Annual Average Growth [%],6.447,14.275,12.466,11.180,9.662,8.111,6.803,5.727,4.855,4.100,3.503,2.979,2.527,2.207,1.941,1.703,1.495,1.292,,
OECD Env-Growth,SSP2,GIN,GDP|PPP,Annual Average Growth [%],6.723,13.604,10.334,8.621,7.277,6.595,6.005,5.490,5.012,4.558,4.203,3.869,3.551,3.284,3.057,2.853,2.667,2.490,,
OECD Env-Growth,SSP3,GIN,GDP|PPP,Annual Average Growth [%],7.043,13.124,8.616,6.514,4.999,4.455,4.059,3.734,3.406,3.091,2.849,2.646,2.438,2.244,2.066,1.914,1.779,1.688,,
OECD Env-Growth,SSP4,GIN,GDP|PPP,Annual Average Growth [%],6.924,12.740,7.940,5.738,4.054,3.531,3.180,2.915,2.651,2.400,2.255,2.141,2.015,1.895,1.793,1.715,1.653,1.629,,
OECD Env-Growth,SSP5,GIN,GDP|PPP,Annual Average Growth [%],6.325,14.376,13.369,12.294,10.435,8.278,6.647,5.434,4.523,3.765,3.255,2.812,2.450,2.269,2.125,2.012,1.923,1.825,,
IIASA GDP,SSP1,GMB,GDP|PPP,Annual Average Growth [%],9.104,6.977,5.884,5.433,4.795,4.464,4.272,4.142,3.878,3.499,3.069,2.655,2.267,1.922,1.619,1.356,1.120,0.903,,
IIASA GDP,SSP2,GMB,GDP|PPP,Annual Average Growth [%],8.817,6.111,4.722,4.221,3.970,3.798,3.615,3.418,3.217,2.993,2.759,2.641,2.580,2.518,2.407,2.264,2.090,1.892,,
IIASA GDP,SSP3,GMB,GDP|PPP,Annual Average Growth [%],8.555,5.265,3.434,2.663,2.235,1.887,1.596,1.327,1.171,1.062,0.974,0.907,0.846,0.796,0.757,0.735,0.722,0.700,,
IIASA GDP,SSP4,GMB,GDP|PPP,Annual Average Growth [%],8.428,5.295,3.650,3.115,2.867,2.693,2.544,2.392,2.320,2.262,2.195,2.129,2.056,1.989,1.933,1.893,1.858,1.812,,
IIASA GDP,SSP5,GMB,GDP|PPP,Annual Average Growth [%],9.103,7.142,6.280,6.060,5.609,5.364,5.163,4.960,4.605,4.140,3.640,3.169,2.733,2.345,2.007,1.902,1.963,2.057,,
OECD Env-Growth,SSP1,GMB,GDP|PPP,Annual Average Growth [%],5.147,5.284,6.426,7.154,7.267,6.948,6.460,5.915,5.374,4.821,4.288,3.774,3.290,2.913,2.588,2.286,2.010,1.734,,
OECD Env-Growth,SSP2,GMB,GDP|PPP,Annual Average Growth [%],5.409,5.489,5.994,6.038,5.705,5.537,5.302,5.072,4.841,4.592,4.347,4.089,3.824,3.584,3.370,3.166,2.965,2.756,,
OECD Env-Growth,SSP3,GMB,GDP|PPP,Annual Average Growth [%],5.603,5.626,5.519,5.012,4.365,4.098,3.851,3.620,3.424,3.230,3.055,2.911,2.754,2.605,2.470,2.349,2.249,2.148,,
OECD Env-Growth,SSP4,GMB,GDP|PPP,Annual Average Growth [%],5.572,5.520,5.205,4.653,3.778,3.440,3.152,2.900,2.698,2.510,2.369,2.262,2.145,2.034,1.942,1.868,1.820,1.776,,
OECD Env-Growth,SSP5,GMB,GDP|PPP,Annual Average Growth [%],5.111,5.260,6.802,8.075,8.403,7.873,7.171,6.457,5.800,5.168,4.616,4.101,3.630,3.287,2.995,2.731,2.495,2.257,,
IIASA GDP,SSP1,GNB,GDP|PPP,Annual Average Growth [%],7.074,4.960,5.330,5.155,5.283,5.082,4.934,4.843,4.789,4.629,4.344,3.969,3.528,3.070,2.628,2.230,1.879,1.577,,
IIASA GDP,SSP2,GNB,GDP|PPP,Annual Average Growth [%],6.592,4.024,4.062,3.796,3.907,3.783,3.840,3.859,3.866,3.758,3.618,3.462,3.436,3.397,3.305,3.155,2.977,2.780,,
IIASA GDP,SSP3,GNB,GDP|PPP,Annual Average Growth [%],6.062,2.934,2.610,2.129,2.007,1.657,1.526,1.397,1.379,1.319,1.286,1.226,1.176,1.111,1.045,1.017,0.983,0.988,,
IIASA GDP,SSP4,GNB,GDP|PPP,Annual Average Growth [%],5.997,2.968,2.795,2.544,2.625,2.458,2.470,2.451,2.511,2.500,2.484,2.416,2.347,2.259,2.172,2.122,2.066,2.048,,
IIASA GDP,SSP5,GNB,GDP|PPP,Annual Average Growth [%],7.078,5.141,5.771,5.861,6.179,6.083,5.981,5.875,5.765,5.526,5.154,4.685,4.150,3.603,3.083,2.621,2.440,2.455,,
OECD Env-Growth,SSP1,GNB,GDP|PPP,Annual Average Growth [%],4.314,4.499,6.711,8.259,8.918,8.627,8.056,7.325,6.585,5.855,5.169,4.517,3.918,3.436,3.013,2.634,2.298,1.975,,
OECD Env-Growth,SSP2,GNB,GDP|PPP,Annual Average Growth [%],4.574,4.547,5.819,6.516,6.648,6.645,6.497,6.235,5.919,5.567,5.214,4.856,4.495,4.160,3.845,3.571,3.313,3.060,,
OECD Env-Growth,SSP3,GNB,GDP|PPP,Annual Average Growth [%],4.750,4.554,4.937,4.929,4.598,4.464,4.347,4.144,3.918,3.653,3.434,3.204,2.996,2.771,2.553,2.380,2.201,2.076,,
OECD Env-Growth,SSP4,GNB,GDP|PPP,Annual Average Growth [%],4.729,4.467,4.678,4.559,3.983,3.782,3.634,3.421,3.201,2.954,2.763,2.568,2.394,2.210,2.036,1.913,1.785,1.720,,
OECD Env-Growth,SSP5,GNB,GDP|PPP,Annual Average Growth [%],4.293,4.570,7.389,9.540,10.370,9.750,8.891,7.956,7.086,6.282,5.567,4.905,4.310,3.846,3.443,3.085,2.769,2.466,,
IIASA GDP,SSP1,GNQ,GDP|PPP,Annual Average Growth [%],6.268,2.908,2.328,2.422,2.876,3.125,3.058,2.783,2.524,2.314,2.113,1.916,1.712,1.515,1.337,1.181,1.033,0.889,,
IIASA GDP,SSP2,GNQ,GDP|PPP,Annual Average Growth [%],6.246,2.737,2.775,2.804,2.822,2.838,2.816,2.673,2.505,2.411,2.307,2.171,2.013,1.853,1.687,1.532,1.372,1.217,,
IIASA GDP,SSP3,GNQ,GDP|PPP,Annual Average Growth [%],6.089,2.289,2.326,2.344,2.367,2.381,2.361,2.273,2.021,1.820,1.717,1.628,1.542,1.443,1.358,1.286,1.217,1.162,,
